Sample Type,Name,Sample ID,Filepath,Cell Line,Differentiation,Media,Additives,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 ChannelSelect,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name
Unknown,iPSC_Pellets_15_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_15_TCA_derivatization.raw,prlr KO,ipsc,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:F9,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_16_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_16_TCA_derivatization.raw,prlr KO,ipsc,basal,prolactin,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:F1,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_17_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_17_TCA_derivatization.raw,prlr KO,ipsc,basal,prolactin,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:B7,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_18_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_18_TCA_derivatization.raw,prlr KO,ipsc,basal,prolactin,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:A1,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_19_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_19_TCA_derivatization.raw,cyp19a1 KO,differentiated,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:A8,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_2_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_2_TCA_derivatization.raw,wt,ipsc,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:E9,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_20_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_20_TCA_derivatization.raw,cyp19a1 KO,differentiated,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:C3,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_21_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_21_TCA_derivatization.raw,cyp19a1 KO,differentiated,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:F3,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_22_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_22_TCA_derivatization.raw,cyp19a1 KO,differentiated,basal,dheas,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:E6,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_23_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_23_TCA_derivatization.raw,cyp19a1 KO,differentiated,basal,dheas,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:D5,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_24_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_24_TCA_derivatization.raw,cyp19a1 KO,differentiated,basal,dheas,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:B3,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_25_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_25_TCA_derivatization.raw,prlr KO,differentiated,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:E1,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_26_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_26_TCA_derivatization.raw,prlr KO,differentiated,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:D4,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_27_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_27_TCA_derivatization.raw,prlr KO,differentiated,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:D9,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_28_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_28_TCA_derivatization.raw,prlr KO,differentiated,basal,prolactin,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:B8,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_29_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_29_TCA_derivatization.raw,prlr KO,differentiated,basal,prolactin,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:B1,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_3_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_3_TCA_derivatization.raw,wt,ipsc,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:F4,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_30_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_30_TCA_derivatization.raw,prlr KO,differentiated,basal,prolactin,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:F8,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_31_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_31_TCA_derivatization.raw,prlr KO,differentiated,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:C4,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_32_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_32_TCA_derivatization.raw,prlr KO,differentiated,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:F6,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_33_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_33_TCA_derivatization.raw,prlr KO,differentiated,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:E3,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_34_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_34_TCA_derivatization.raw,prlr KO,differentiated,complex,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:F2,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_35_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_35_TCA_derivatization.raw,prlr KO,differentiated,complex,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:D6,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_36_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_36_TCA_derivatization.raw,prlr KO,differentiated,complex,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:C7,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_37_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_37_TCA_derivatization.raw,ptn KO,differentiated,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:B4,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_38_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_38_TCA_derivatization.raw,ptn KO,differentiated,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:A7,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_39_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_39_TCA_derivatization.raw,ptn KO,differentiated,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:A6,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_4_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_4_TCA_derivatization.raw,ptn KO,ipsc,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:E2,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_40_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_40_TCA_derivatization.raw,ptn KO,differentiated,complex,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:D7,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_41_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_41_TCA_derivatization.raw,ptn KO,differentiated,complex,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:D8,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_42_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_42_TCA_derivatization.raw,ptn KO,differentiated,complex,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:A3,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_43_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_43_TCA_derivatization.raw,wt,differentiated,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:C1,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_44_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_44_TCA_derivatization.raw,wt,differentiated,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:C6,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_45_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_45_TCA_derivatization.raw,wt,differentiated,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:D2,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_46_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_46_TCA_derivatization.raw,wt,differentiated,complex,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:A2,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_47_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_47_TCA_derivatization.raw,wt,differentiated,complex,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:B6,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_48_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_48_TCA_derivatization.raw,wt,differentiated,complex,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:A4,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_49_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_49_TCA_derivatization.raw,cyp19a1 KO,differentiated,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:C8,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_5_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_5_TCA_derivatization.raw,ptn KO,ipsc,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:F7,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_50_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_50_TCA_derivatization.raw,cyp19a1 KO,differentiated,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:E7,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_51_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_51_TCA_derivatization.raw,cyp19a1 KO,differentiated,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:D1,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_52_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_52_TCA_derivatization.raw,cyp19a1 KO,differentiated,complex,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:C2,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_53_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_53_TCA_derivatization.raw,cyp19a1 KO,differentiated,complex,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:F5,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_54_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_54_TCA_derivatization.raw,cyp19a1 KO,differentiated,complex,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:B5,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_6_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_6_TCA_derivatization.raw,ptn KO,ipsc,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:A9,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_7_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_7_TCA_derivatization.raw,cyp19a1 KO,ipsc,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:B2,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_8_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_8_TCA_derivatization.raw,cyp19a1 KO,ipsc,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:C5,5,,0,0,0,1,,,,,,,
Unknown,iPSC_Pellets_9_TCA_derivatization,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/iPSC_Pellets_9_TCA_derivatization.raw,cyp19a1 KO,ipsc,basal,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,Y:E8,5,,0,0,0,1,,,,,,,
Unknown,Pool_Pellets_QC_iPSC_Pellets_TCA_derivatization_DDA,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/Pool_Pellets_QC_iPSC_Pellets_TCA_derivatization_DDA.raw,None,None,None,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA_DDA,,,B:A4,5,,0,0,0,1,,,,,,,
Unknown,Pool_Pellets_TCA_derivatization_1,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/Pool_Pellets_TCA_derivatization_1.raw,None,None,None,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,B:A4,5,,0,0,0,1,,,,,,,
Unknown,Pool_Pellets_TCA_derivatization_2,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/Pool_Pellets_TCA_derivatization_2.raw,None,None,None,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,B:A4,5,,0,0,0,1,,,,,,,
Unknown,Pool_Pellets_TCA_derivatization_3,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/Pool_Pellets_TCA_derivatization_3.raw,None,None,None,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,B:A4,5,,0,0,0,1,,,,,,,
Unknown,Qstd_TCA_derivatization_1,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/Qstd_TCA_derivatization_1.raw,None,None,None,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,B:A3,5,,0,0,0,1,,,,,,,
Unknown,Qstd_TCA_derivatization_2,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/Qstd_TCA_derivatization_2.raw,None,None,None,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,B:A3,5,,0,0,0,1,,,,,,,
Unknown,STD_TCA_derivatization_1,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/STD_TCA_derivatization_1.raw,None,None,None,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,B:A2,5,,0,0,0,1,,,,,,,
Unknown,STD_TCA_derivatization_2,1,/Users/mitchjo/Datasets/MorPhic/03282023_iPSC_Pellets_TCA_derivatization/STD_TCA_derivatization_2.raw,None,None,None,None,C:\Xcalibur\methods\Shujian\02202023_Acetyl_CoA\02252023_DmPA,,,B:A2,5,,0,0,0,1,,,,,,,
